peak,stable_rel,pitch_Hz,amplitude_sinus,amplitude_vibrato
char,double,double,double,double
low,0.5,501.446143934686,1,0.5
low,0.25,507.272667468763,1,0.5
high,0.5,502.896470533929,1,0.5
low,0.5,504.3509918952,1,0.5
high,0.25,500.000000000001,1,0.5
high,0.25,504.3509918952,1,0.5
high,0.5,507.272667468762,1,0.5
low,0.75,497.120211908774,1,0.5
low,0,495.686543731332,1,0.5
low,0.25,498.558026667295,1,0.5
low,0.75,514.651118321748,1,0.5
high,0.5,511.686945998389,1,0.5
low,0.25,513.166891945212,1,0.5
high,0.75,508.739846051344,1,0.5
low,0.5,504.3509918952,1,0.5
high,0.5,495.686543731332,1,0.5
low,0.75,498.558026667297,1,0.5
high,0.25,502.896470533929,1,0.5
high,0.75,505.809720150962,1,0.5
low,0.5,508.739846051345,1,0.5
low,0,497.120211908774,1,0.5
high,0.75,494.25701017645,1,1
low,0.75,504.3509918952,1,1
high,0.25,513.166891945213,1,1
low,0.25,514.651118321748,1,1
low,0,501.446143934684,1,1
low,0,505.809720150962,1,1
high,0.75,504.3509918952,1,1
